Date,CI_Low,Forecast_GWh,CI_High,Solar_Total,Mini_Hydro,Biomass_Waste,Wind,Major_Hydro,Oil_IPP,Oil_CEB,Coal
2026-02-23,51.9263,59.0228,60.1203,16.2566,2.7559,0.2465,1.5142,18.0782,3.751,4.377,12.0435
2026-02-24,51.6724,58.4913,60.0784,16.1102,2.7311,0.2443,1.5006,17.9154,3.7172,4.3376,11.935
2026-02-25,51.428,58.8469,59.9892,16.2081,2.7477,0.2458,1.5097,18.0243,3.7398,4.3639,12.0076
2026-02-26,51.3084,57.8654,59.9592,15.9378,2.7018,0.2417,1.4845,17.7237,3.6774,4.2911,11.8073
2026-02-27,51.2523,57.6216,59.5991,15.8707,2.6904,0.2407,1.4783,17.649,3.6619,4.2731,11.7576
2026-02-28,51.4213,55.8784,57.0231,15.3905,2.6091,0.2334,1.4336,17.1151,3.5511,4.1438,11.4019
2026-03-01,50.6382,52.1207,52.4616,14.3555,2.4336,0.2177,1.3372,15.9641,3.3123,3.8651,10.6351
2026-03-02,51.5811,57.1704,59.9094,15.7464,2.6694,0.2388,1.4667,17.5108,3.6333,4.2396,11.6655
2026-03-03,51.4947,57.4449,60.1076,15.822,2.6822,0.2399,1.4737,17.5949,3.6507,4.26,11.7215
2026-03-04,51.5367,57.5366,59.9175,15.8472,2.6865,0.2403,1.4761,17.623,3.6565,4.2668,11.7402
2026-03-05,51.4563,57.0784,59.5172,15.721,2.6651,0.2384,1.4643,17.4826,3.6274,4.2328,11.6467
2026-03-06,51.4612,56.9534,59.1439,15.6866,2.6592,0.2379,1.4611,17.4443,3.6195,4.2235,11.6212
2026-03-07,51.4221,55.042,56.8235,15.1602,2.57,0.2299,1.4121,16.8589,3.498,4.0818,11.2312
2026-03-08,50.6657,52.0188,52.4678,14.3275,2.4288,0.2173,1.3345,15.9329,3.3059,3.8576,10.6143
2026-03-09,51.4384,57.0222,59.7456,15.7056,2.6625,0.2382,1.4629,17.4654,3.6238,4.2286,11.6353
2026-03-10,51.4703,57.3507,59.8623,15.796,2.6778,0.2396,1.4713,17.566,3.6447,4.253,11.7023
2026-03-11,51.4734,57.3533,59.7667,15.7968,2.6779,0.2396,1.4714,17.5668,3.6449,4.2532,11.7028
2026-03-12,51.4703,57.2725,59.2852,15.7745,2.6741,0.2392,1.4693,17.5421,3.6397,4.2472,11.6863
2026-03-13,51.4491,56.8618,59.0371,15.6614,2.655,0.2375,1.4588,17.4163,3.6136,4.2167,11.6025
2026-03-14,51.3898,54.5979,56.6771,15.0378,2.5493,0.2281,1.4007,16.7229,3.4698,4.0488,11.1406
2026-03-15,50.5857,52.0525,52.3744,14.3368,2.4304,0.2174,1.3354,15.9432,3.308,3.8601,10.6212
2026-03-16,51.4701,57.5495,59.7848,15.8508,2.6871,0.2404,1.4764,17.6269,3.6573,4.2677,11.7428
2026-03-17,51.4301,57.7305,59.9233,15.9006,2.6955,0.2411,1.4811,17.6823,3.6688,4.2811,11.7798
2026-03-18,51.4412,57.738,59.8605,15.9027,2.6959,0.2412,1.4813,17.6846,3.6693,4.2817,11.7813
2026-03-19,51.4531,57.2265,59.5048,15.7618,2.672,0.239,1.4681,17.528,3.6368,4.2438,11.6769
2026-03-20,51.4949,56.8582,59.1028,15.6604,2.6548,0.2375,1.4587,17.4152,3.6134,4.2164,11.6018
2026-03-21,51.404,54.7827,56.7101,15.0887,2.5579,0.2288,1.4054,16.7795,3.4815,4.0625,11.1783
2026-03-22,50.707,52.0609,52.4334,14.3391,2.4308,0.2175,1.3356,15.9458,3.3085,3.8607,10.6229
2026-03-23,51.0461,57.4906,59.9465,15.8346,2.6843,0.2401,1.4749,17.6089,3.6536,4.2633,11.7308
2026-03-24,51.6033,57.9984,60.1422,15.9744,2.708,0.2423,1.4879,17.7644,3.6859,4.301,11.8344
2026-03-25,51.5006,57.8575,59.8092,15.9356,2.7015,0.2417,1.4843,17.7212,3.6769,4.2906,11.8057
2026-03-26,51.5006,56.884,59.4691,15.6675,2.656,0.2376,1.4594,17.4231,3.6151,4.2184,11.6071
2026-03-27,51.5133,56.8181,59.1016,15.6493,2.6529,0.2373,1.4577,17.4029,3.6109,4.2135,11.5936
2026-03-28,51.4515,54.8739,56.7256,15.1139,2.5622,0.2292,1.4078,16.8074,3.4873,4.0693,11.1969
2026-03-29,50.7094,52.1552,52.4119,14.365,2.4352,0.2179,1.338,15.9747,3.3145,3.8677,10.6422
2026-03-30,51.4681,57.4283,59.8606,15.8174,2.6814,0.2399,1.4733,17.5898,3.6496,4.2587,11.7181
2026-03-31,51.2428,58.0713,60.142,15.9945,2.7114,0.2426,1.4898,17.7867,3.6905,4.3064,11.8493
2026-04-01,51.2682,58.0609,59.9566,15.9916,2.711,0.2425,1.4896,17.7835,3.6898,4.3056,11.8472
2026-04-02,51.295,56.9211,59.5109,15.6777,2.6577,0.2378,1.4603,17.4344,3.6174,4.2211,11.6146
2026-04-03,51.2698,56.8913,58.9219,15.6695,2.6563,0.2376,1.4595,17.4253,3.6155,4.2189,11.6085
