Date (GMT+5:30),Solar (Energy in GWh/day),Rooftop Solar (Est.) (Energy in GWh/day),Solar (Estimated) (Energy in GWh/day),Mini Hydro (Telemetered) (Energy in GWh/day),Mini Hydro (Estimated) (Energy in GWh/day),Biomass and Waste Heat (Energy in GWh/day),Wind (Energy in GWh/day),Major Hydro (Energy in GWh/day),Oil (IPP) (Energy in GWh/day),Oil (CEB) (Energy in GWh/day),Coal (Energy in GWh/day)
2017-01-01,0.03,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.56,4.72,5.06,7.43,13.03
2017-01-02,0.09,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.56,4.51,9.89,8.91,12.49
2017-01-03,0.04,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.50,5.38,11.18,9.23,12.91
2017-01-04,0.04,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.49,5.09,10.96,9.24,13.02
2017-01-05,0.06,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.55,4.63,11.04,8.96,12.99
2017-01-06,0.05,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.43,6.24,9.87,8.62,12.96
2017-01-07,0.06,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.42,3.61,9.99,8.51,13.07
2017-01-08,0.04,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.51,3.87,7.46,6.71,12.90
2017-01-09,0.06,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.30,4.50,10.46,9.44,12.85
2017-01-10,0.04,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.26,4.91,10.88,9.42,12.98
2017-01-11,0.06,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.18,5.22,10.83,9.13,13.05
2017-01-12,0.04,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.35,4.35,8.32,6.70,12.90
2017-01-13,0.04,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.60,4.25,10.26,8.05,12.76
2017-01-14,0.04,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.42,3.80,7.05,6.85,14.23
2017-01-15,0.07,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.50,4.23,4.64,5.52,16.14
2017-01-16,0.07,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.70,5.57,7.02,8.77,16.17
2017-01-17,0.04,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.67,4.85,7.99,8.87,16.13
2017-01-18,0.07,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.71,4.67,7.92,8.74,16.36
2017-01-19,0.04,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.67,5.28,8.55,8.11,16.30
2017-01-20,0.05,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.43,4.64,9.46,7.77,16.33
2017-01-21,0.03,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.49,3.45,9.60,5.73,17.45
2017-01-22,0.03,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.28,2.30,6.14,5.63,17.93
2017-01-23,0.02,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.52,3.78,8.79,6.56,17.87
2017-01-24,0.03,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.71,3.47,8.70,5.82,18.31
2017-01-25,0.02,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.41,4.44,5.99,7.28,19.39
2017-01-26,0.05,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.28,3.84,7.48,7.65,19.30
2017-01-27,0.01,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.13,3.66,7.08,6.95,19.33
2017-01-28,0.06,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.20,3.28,6.62,5.75,19.35
2017-01-29,0.05,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.42,3.67,4.64,3.14,19.29
2017-01-30,0.03,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.46,3.66,8.65,6.00,18.65
2017-01-31,0.06,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.40,2.92,8.10,7.28,19.34
2017-02-01,0.06,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.41,3.01,8.26,7.27,19.51
2017-02-02,0.07,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.55,4.50,8.62,5.71,19.06
2017-02-03,0.07,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.92,2.35,8.14,6.46,19.60
2017-02-04,0.07,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.69,2.24,2.27,5.27,19.38
2017-02-05,0.07,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.39,2.60,2.36,6.07,19.08
2017-02-06,0.02,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.31,2.00,8.01,7.64,19.12
2017-02-07,0.08,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.30,3.48,7.21,7.44,19.45
2017-02-08,0.11,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.40,3.47,8.33,7.58,19.20
2017-02-09,0.10,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.44,4.07,8.38,6.41,19.32
2017-02-10,0.11,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.37,3.22,2.96,6.68,19.62
2017-02-11,0.13,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.49,3.58,6.04,5.38,19.47
2017-02-12,0.12,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.60,3.00,2.39,6.90,19.61
